"","Year","CA","OR","WA","ASHOP","FOREIGN","POP","TRI","AFSC","NWFSC.SLOPE","NWFSC.COMBO","OTHER.RESEARCH"
"69",1960,19.566144512,1358.762099962,928.13,0,0,0,0,0,0,0,0
"70",1961,1.10449652,2061.861162208,1179.81,0,0,0,0,0,0,0,0
"71",1962,0.566082816,2584.915712692,1725.25,0,0,0,0,0,0,0,0
"72",1963,32.45087886,3693.937483264,2006.04,0,0,0,0,0,0,0,0
"73",1964,46.06090682,4261.575419328,1770.69,0,0,0,0,0,0,0,0
"74",1965,34.947902822,5627.792169814,1972.06,0,0,0,0,0,0,0,0
"75",1966,5.217668776,1591.19701566,1725.51,0,15561,0,0,0,0,0,0
"76",1967,17.8488452,354.666482592,1861.01,0,12357,0,0,0,0,0,0
"77",1968,21.85950566,466.350952828,2501.23,0,6639,0,0,0,0,0,0
"78",1969,8.360607744,422.297245904,1235.95,0,469,0,0,0,0,0,0
"79",1970,8.721666976,507.392244042,1293.29,0,441,0,0,0,0,0,0
"80",1971,12.18892422,290.405034417,673.63,0,902,0,0,0,0,0,0
"81",1972,11.41101394,105.274179962,796.46,0,950,0,0,0,0,0,0
"82",1973,11.93990222,121.180102796,713.15,0,1773,0,0,0,0,0,0
"83",1974,15.69201524,136.694017387,641.84,0,1457,0,0,0,0,0,0
"84",1975,11.36157242,181.318697277,413.91,62.26131,496,0,0,0,0,0,0
"85",1976,17.12128363,663.726424091,521.08,31.92687,239,0,0,0,0,0,0
"86",1977,16.71985471,457.131480875,751.98,3.7785,0,0,11.947395,0,0,0,0
"87",1978,42.5414865,498.6614361626,1391.45,15.38787,0,0,0,0,0,0,0
"88",1979,136.68223814,735.918097848,581.4,15.0891,0,34.469216,0,0,0,0,0
"89",1980,19.21461071,948.621594239,666.17,47.02305,0,0,4.648142,0,0,0,0
"90",1981,10.8088,929.74531373149,390.27,15.381855,0,0,0,0,0,0,0
"91",1982,145.9095,583.96573737644,273.01,28.31562,0,0,0,0,0,0,0
"92",1983,102.0487,1032.67105530893,437.68,10.921755,0,0,4.374043,0,0,0,0
"93",1984,47.588,750.42832501834,815.71,2.308576,0,0,0,0.856381,0,0,0
"94",1985,70.888,789.46141726946,503.16,11.398034,0,13.598559,0,0,0,0,0
"95",1986,52.8189,676.49077952323,588.93,19.801769,0,0,1.40985,0,0,0,0
"96",1987,120.8822,549.950577710718,399.37,5.355884,0,0,0,0,0,0,0
"97",1988,75.4494,749.833679022028,509.78,4.537702,0,0,0,0.510517,0,0,0
"98",1989,29.4536,927.816131550431,466.23,4.346288,0,0,4.206027,0,0,0,0
"99",1990,18.2942,567.783934184562,427.21,80.93702316,0,0,0,0.018553,0,0,0
"100",1991,8.4199,853.190867343059,530.08,46.1094531,0,0,0,0,0,0,0
"101",1992,15.2907,623.795273290064,435.22,373.3245951,0,0,3.706897,1.16129,0,0,0
"102",1993,11.0011,797.826905152924,464.68,0.8679335,0,0,0,0.170369,0,0,0
"103",1994,6.6608,626.424397409097,352,83.8149222,0,0,0,0,0,0,0
"104",1995,9.1567,514.952875622124,289.8,46.6124221,0,0,2.814912,0.008154,0,0,0
"105",1996,18.4212,531.088371403131,236.67,6.3025857,0,0,0,1.174775,0,0,0
"106",1997,15.8457,439.08556813847,184.92,6.3653296,0,0,0,0.109962,0,0,0
"107",1998,21.6077,436.64035073212,172.36,22.2501271,0,0,3.77268,0,0,0,0
"108",1999,19.7534,326.826182958119,145.79,16.4733638,0,0,0,1.029044,0.358533,0,0
"109",2000,6.785,95.1289,33.03,10.0876468,0,0,0,0.226734,0.35564,0,0
"110",2001,0.4772,193.3707,51.83,21.0024373,0,0,1.71895,0.607262,0.51019,0,0
"111",2002,0.7846,107.0548,39.5,3.8505183,0,0,0,0,0.295562,0,0
"112",2003,0.159,94.5579,30.24,6.27951,0,0,0,0,0,3.55237,0
"113",2004,2.0887,97.6863,22.27,1.0617203,0,0,1.926492,0,0,0.606884,0
"114",2005,0.0976,51.2123,10.43,1.6966076,0,0,0,0,0,1.25414,0
"115",2006,0.2351,52.2276,15.85,3.1363072,0,0,0,0,0,1.2164,0
"116",2007,0.1537,83.6482,45.12,4.0474894,0,0,0,0,0,0.5766,0
"117",2008,0.3888,58.6409,16.61,15.9305677,0,0,0,0,0,0.795342,0
"118",2009,0.9169,58.7451,33.22,1.5595984,0,0,0,0,0,2.70355,0
"119",2010,0.141,57.9987,22.29,16.8732683,0,0,0,0,0,1.61584,0
"120",2011,0.1235,30.256,19.66,9.16567509949,0,0,0,0,0,1.188964,0
"121",2012,0.176,30.4097,21.79,4.518390957098,0,0,0,0,0,1.59333,0
"122",2013,0.0825,34.8611,14.83,5.407088822588,0,0,0,0,0,1.709208,0
"123",2014,0.1813,30.6406,9.55,3.920437307932,0,0,0,0,0,0.56067,0
"124",2015,0.1242,38.1215,11.41,8.707892695597,0,0,0,0,0,1.50708,0
"125",2016,0.188,34.1486,13.12,10.295788577578,0,0,0,0,0,0,0
